Age,Age_Group,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,DistanceFromHome,Commute_Category,MonthlyIncome,Income_Band,PercentSalaryHike,Hike_Category,StockOptionLevel,JobSatisfaction,JobInvolvement,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,Experience_Band,YearsInCurrentRole,Role_Stability,YearsSinceLastPromotion,Promotion_Status,YearsWithCurrManager,Manager_Relationship,NumCompaniesWorked,Career_Mobility,TotalWorkingYears,TrainingTimesLastYear,OverTime,Attrition
38,Senior,Male,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2,Nearby,3944,Mid Level,11,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Good,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),5,Experienced Mover (3-5),6,3,Yes,No
24,Early Career,Female,Divorced,College,Other,Research & Development,Manufacturing Director,2,Non-Travel,11,Moderate,4011,Mid Level,18,Good Hike (16-20%),1,Satisfied,Highly Engaged,Below Standard,Excellent,Fair,Exceeds Expectations,4,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),0,First Job,5,5,No,No
36,Senior,Male,Single,Master,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,9,Moderate,3407,Mid Level,23,Excellent Hike (20+%),0,Dissatisfied,Casually Engaged,Above Standard,Fair,Good,Outstanding,5,Established,3,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),7,Frequent Mover (6+),10,4,No,Yes
34,Mid Career,Female,Single,Master,Life Sciences,Research & Development,Research Director,3,Travel_Rarely,7,Moderate,11994,Executive Level,11,Standard Hike (11-15%),0,Content,Engaged,Below Standard,Good,Good,Exceeds Expectations,12,Veteran,6,Stagnant Risk (5-7 yrs),2,Due for Review (2-3 yrs),11,Long Term (8+ yrs),0,First Job,13,4,No,No
21,Early Career,Male,Single,College,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,15,Moderate,1232,Entry Level,14,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,0,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),0,6,No,No
34,Mid Career,Male,Single,Below College,Medical,Research & Development,Research Scientist,1,Travel_Rarely,6,Moderate,2960,Entry Level,11,Standard Hike (11-15%),0,Dissatisfied,Engaged,Standard,Good,Good,Exceeds Expectations,4,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),2,Early Career Mover (1-2),8,2,No,Yes
53,Experienced,Female,Divorced,Bachelor,Other,Research & Development,Manager,5,Travel_Rarely,5,Nearby,19094,Executive Level,11,Standard Hike (11-15%),1,Satisfied,Engaged,Above Standard,Excellent,Fair,Exceeds Expectations,14,Veteran,13,Critical Risk (8+ yrs),4,Overdue (4-6 yrs),8,Long Term (8+ yrs),4,Experienced Mover (3-5),26,3,No,No
32,Mid Career,Female,Single,Below College,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,16,Far,3919,Mid Level,22,Excellent Hike (20+%),0,Dissatisfied,Disengaged,Standard,Fair,Good,Outstanding,10,Experienced,2,Established (2-4 yrs),6,Overdue (4-6 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),10,5,Yes,Yes
42,Senior,Male,Married,Master,Marketing,Sales,Sales Executive,2,Travel_Rarely,8,Moderate,6825,Senior Level,11,Standard Hike (11-15%),1,Content,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,9,Experienced,7,Stagnant Risk (5-7 yrs),4,Overdue (4-6 yrs),2,Building Trust (2-4 yrs),0,First Job,10,2,No,No
44,Senior,Female,Married,Master,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,7,Moderate,10248,Executive Level,14,Standard Hike (11-15%),1,Highly Satisfied,Casually Engaged,Below Standard,Excellent,Good,Exceeds Expectations,22,Veteran,6,Stagnant Risk (5-7 yrs),5,Overdue (4-6 yrs),17,Long Term (8+ yrs),3,Experienced Mover (3-5),24,4,No,No
46,Experienced,Female,Single,Master,Marketing,Sales,Manager,5,Travel_Rarely,2,Nearby,18947,Executive Level,12,Standard Hike (11-15%),0,Dissatisfied,Engaged,Standard,Excellent,Fair,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),1,New Relationship (0-1 yrs),3,Experienced Mover (3-5),22,2,No,No
33,Mid Career,Male,Single,Bachelor,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2,Nearby,2496,Entry Level,11,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Above Standard,Excellent,Good,Exceeds Expectations,1,New Joinee,1,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),4,Experienced Mover (3-5),7,3,No,No
44,Senior,Male,Married,Master,Other,Research & Development,Healthcare Representative,2,Travel_Rarely,10,Moderate,6465,Senior Level,13,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Excellent,Excellent,Exceeds Expectations,4,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),2,Early Career Mover (1-2),9,5,Yes,No
30,Mid Career,Male,Single,College,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,9,Moderate,2206,Entry Level,13,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Excellent,Poor,Good,Exceeds Expectations,10,Experienced,0,Settling In (0-1 yrs),1,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),10,5,No,No
39,Senior,Male,Married,Bachelor,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,5,Nearby,2086,Entry Level,14,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Excellent,Good,Excellent,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),3,Experienced Mover (3-5),19,6,No,Yes
24,Early Career,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,1,Travel_Rarely,1,Nearby,2293,Entry Level,16,Good Hike (16-20%),1,Highly Satisfied,Engaged,Standard,Poor,Fair,Exceeds Expectations,2,New Joinee,0,Settling In (0-1 yrs),2,Due for Review (2-3 yrs),0,New Relationship (0-1 yrs),2,Early Career Mover (1-2),6,2,Yes,Yes
43,Senior,Female,Divorced,College,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2,Nearby,2645,Entry Level,12,Standard Hike (11-15%),2,Satisfied,Highly Engaged,Excellent,Excellent,Fair,Exceeds Expectations,5,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),4,Building Trust (2-4 yrs),1,Early Career Mover (1-2),6,3,No,No
50,Experienced,Male,Married,College,Marketing,Sales,Sales Representative,1,Travel_Rarely,3,Nearby,2683,Entry Level,14,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Below Standard,Good,Good,Exceeds Expectations,3,Established,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),3,2,Yes,Yes
35,Mid Career,Female,Married,Bachelor,Marketing,Sales,Sales Representative,1,Travel_Rarely,2,Nearby,2014,Entry Level,13,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Poor,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),2,3,No,No
36,Senior,Female,Married,Master,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,5,Nearby,3419,Mid Level,14,Standard Hike (11-15%),1,Dissatisfied,Casually Engaged,Standard,Excellent,Excellent,Exceeds Expectations,1,New Joinee,1,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),9,Frequent Mover (6+),6,3,Yes,No
33,Mid Career,Female,Married,Bachelor,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,1,Nearby,5376,Mid Level,19,Good Hike (16-20%),2,Dissatisfied,Highly Engaged,Above Standard,Poor,Good,Exceeds Expectations,5,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),2,Early Career Mover (1-2),10,3,No,No
35,Mid Career,Male,Divorced,College,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,4,Nearby,1951,Entry Level,12,Standard Hike (11-15%),1,Highly Satisfied,Engaged,Above Standard,Good,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,3,No,No
27,Mid Career,Female,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2,Nearby,2341,Entry Level,13,Standard Hike (11-15%),1,Dissatisfied,Engaged,Excellent,Excellent,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,6,No,No
26,Mid Career,Male,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,25,Far,2293,Entry Level,12,Standard Hike (11-15%),0,Satisfied,Disengaged,Below Standard,Good,Fair,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,2,No,Yes
27,Mid Career,Male,Single,Bachelor,Life Sciences,Sales,Sales Executive,3,Travel_Frequently,8,Moderate,8726,Senior Level,15,Standard Hike (11-15%),0,Satisfied,Engaged,Excellent,Excellent,Good,Exceeds Expectations,9,Experienced,8,Critical Risk (8+ yrs),1,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),9,0,No,No
30,Mid Career,Female,Single,College,Medical,Research & Development,Laboratory Technician,2,Travel_Frequently,1,Nearby,4011,Mid Level,23,Excellent Hike (20+%),0,Highly Satisfied,Engaged,Above Standard,Excellent,Good,Outstanding,12,Veteran,8,Critical Risk (8+ yrs),3,Due for Review (2-3 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),12,2,No,No
41,Senior,Female,Married,Bachelor,Technical Degree,Research & Development,Research Director,5,Travel_Rarely,12,Moderate,19545,Executive Level,12,Standard Hike (11-15%),0,Satisfied,Engaged,Standard,Excellent,Good,Exceeds Expectations,22,Veteran,15,Critical Risk (8+ yrs),15,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),23,0,No,Yes
34,Mid Career,Male,Single,Master,Marketing,Sales,Sales Executive,2,Non-Travel,23,Far,4568,Mid Level,20,Good Hike (16-20%),0,Satisfied,Engaged,Standard,Good,Good,Outstanding,9,Experienced,5,Stagnant Risk (5-7 yrs),8,Critically Overdue (7+ yrs),7,Stable (5-7 yrs),0,First Job,10,2,No,No
37,Senior,Male,Married,College,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,19,Far,3022,Mid Level,21,Excellent Hike (20+%),0,Content,Engaged,Standard,Poor,Good,Outstanding,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),4,Experienced Mover (3-5),8,1,No,No
46,Experienced,Male,Single,Master,Marketing,Sales,Sales Executive,2,Travel_Frequently,5,Nearby,5772,Mid Level,21,Excellent Hike (20+%),0,Highly Satisfied,Engaged,Below Standard,Good,Good,Outstanding,9,Experienced,6,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),4,Experienced Mover (3-5),14,4,Yes,No
35,Mid Career,Male,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,8,Moderate,2269,Entry Level,19,Good Hike (16-20%),0,Highly Satisfied,Highly Engaged,Excellent,Excellent,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),1,New Relationship (0-1 yrs),1,Early Career Mover (1-2),1,2,No,No
48,Experienced,Male,Single,College,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,1,Nearby,5381,Mid Level,13,Standard Hike (11-15%),0,Satisfied,Casually Engaged,Below Standard,Excellent,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),9,Frequent Mover (6+),23,2,Yes,Yes
28,Mid Career,Male,Single,Master,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,5,Nearby,3441,Mid Level,13,Standard Hike (11-15%),0,Satisfied,Engaged,Above Standard,Good,Fair,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),1,Early Career Mover (1-2),2,3,Yes,Yes
44,Senior,Female,Divorced,Doctor,Marketing,Sales,Sales Executive,2,Travel_Rarely,1,Nearby,5454,Mid Level,21,Excellent Hike (20+%),1,Dissatisfied,Engaged,Standard,Good,Fair,Outstanding,4,Established,3,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),5,Experienced Mover (3-5),9,2,Yes,No
35,Mid Career,Male,Married,College,Medical,Research & Development,Healthcare Representative,3,Non-Travel,11,Moderate,9884,Senior Level,13,Standard Hike (11-15%),1,Dissatisfied,Casually Engaged,Above Standard,Good,Good,Exceeds Expectations,4,Established,0,Settling In (0-1 yrs),2,Due for Review (2-3 yrs),3,Building Trust (2-4 yrs),2,Early Career Mover (1-2),10,3,Yes,No
26,Mid Career,Female,Married,Bachelor,Marketing,Sales,Sales Executive,2,Travel_Rarely,23,Far,4157,Mid Level,19,Good Hike (16-20%),1,Highly Satisfied,Casually Engaged,Above Standard,Good,Fair,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),7,Frequent Mover (6+),5,2,Yes,No
33,Mid Career,Female,Single,College,Life Sciences,Research & Development,Research Director,3,Travel_Frequently,1,Nearby,13458,Executive Level,12,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Below Standard,Good,Good,Exceeds Expectations,15,Veteran,14,Critical Risk (8+ yrs),8,Critically Overdue (7+ yrs),12,Long Term (8+ yrs),1,Early Career Mover (1-2),15,1,Yes,No
35,Mid Career,Male,Married,Doctor,Life Sciences,Sales,Sales Executive,3,Travel_Frequently,18,Far,9069,Senior Level,22,Excellent Hike (20+%),1,Dissatisfied,Engaged,Standard,Excellent,Fair,Outstanding,9,Experienced,8,Critical Risk (8+ yrs),1,Recently Promoted (0-1 yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),9,3,No,No
35,Mid Career,Female,Married,Master,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,23,Far,4014,Mid Level,15,Standard Hike (11-15%),1,Dissatisfied,Engaged,Above Standard,Good,Good,Exceeds Expectations,2,New Joinee,2,Established (2-4 yrs),2,Due for Review (2-3 yrs),2,Building Trust (2-4 yrs),3,Experienced Mover (3-5),4,3,Yes,No
31,Mid Career,Male,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,7,Moderate,5915,Mid Level,22,Excellent Hike (20+%),1,Highly Satisfied,Engaged,Excellent,Excellent,Fair,Outstanding,7,Experienced,7,Stagnant Risk (5-7 yrs),1,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),3,Experienced Mover (3-5),10,3,No,No
37,Senior,Male,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,1,Nearby,5993,Mid Level,18,Good Hike (16-20%),1,Satisfied,Casually Engaged,Below Standard,Good,Excellent,Exceeds Expectations,7,Experienced,5,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),7,Stable (5-7 yrs),1,Early Career Mover (1-2),7,2,No,No
32,Mid Career,Male,Married,Bachelor,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,1,Nearby,6162,Senior Level,22,Excellent Hike (20+%),1,Highly Satisfied,Engaged,Below Standard,Fair,Good,Outstanding,9,Experienced,8,Critical Risk (8+ yrs),7,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),9,3,Yes,No
38,Senior,Female,Single,Doctor,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Frequently,29,Far,2406,Entry Level,11,Standard Hike (11-15%),0,Highly Satisfied,Engaged,Excellent,Excellent,Good,Exceeds Expectations,10,Experienced,3,Established (2-4 yrs),9,Critically Overdue (7+ yrs),9,Long Term (8+ yrs),1,Early Career Mover (1-2),10,2,No,No
50,Experienced,Female,Divorced,College,Medical,Research & Development,Research Director,5,Travel_Rarely,7,Moderate,18740,Executive Level,12,Standard Hike (11-15%),1,Satisfied,Casually Engaged,Standard,Excellent,Fair,Exceeds Expectations,27,Veteran,3,Established (2-4 yrs),13,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),5,Experienced Mover (3-5),29,2,Yes,No
59,Veteran,Female,Single,Bachelor,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,25,Far,7637,Senior Level,11,Standard Hike (11-15%),0,Dissatisfied,Engaged,Below Standard,Excellent,Fair,Exceeds Expectations,21,Veteran,16,Critical Risk (8+ yrs),7,Critically Overdue (7+ yrs),9,Long Term (8+ yrs),7,Frequent Mover (6+),28,3,No,No
36,Senior,Female,Divorced,Bachelor,Technical Degree,Research & Development,Healthcare Representative,3,Travel_Rarely,8,Moderate,10096,Executive Level,13,Standard Hike (11-15%),3,Satisfied,Engaged,Above Standard,Fair,Good,Exceeds Expectations,17,Veteran,14,Critical Risk (8+ yrs),12,Critically Overdue (7+ yrs),8,Long Term (8+ yrs),1,Early Career Mover (1-2),17,2,No,No
55,Experienced,Female,Divorced,Bachelor,Medical,Research & Development,Manager,4,Travel_Rarely,8,Moderate,14756,Executive Level,14,Standard Hike (11-15%),3,Satisfied,Engaged,Excellent,Good,Good,Exceeds Expectations,5,Established,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),2,Early Career Mover (1-2),21,2,Yes,No
36,Senior,Male,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Frequently,11,Moderate,6499,Senior Level,13,Standard Hike (11-15%),0,Content,Casually Engaged,Standard,Good,Good,Exceeds Expectations,6,Experienced,5,Stagnant Risk (5-7 yrs),0,Recently Promoted (0-1 yrs),3,Building Trust (2-4 yrs),1,Early Career Mover (1-2),6,3,No,No
45,Senior,Male,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,3,Travel_Rarely,7,Moderate,9724,Senior Level,17,Good Hike (16-20%),1,Dissatisfied,Engaged,Standard,Good,Good,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),2,Early Career Mover (1-2),25,2,No,No
35,Mid Career,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,1,Travel_Frequently,1,Nearby,2194,Entry Level,13,Standard Hike (11-15%),1,Dissatisfied,Engaged,Standard,Excellent,Fair,Exceeds Expectations,3,Established,2,Established (2-4 yrs),1,Recently Promoted (0-1 yrs),2,Building Trust (2-4 yrs),4,Experienced Mover (3-5),5,2,No,No
36,Senior,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,1,Travel_Rarely,9,Moderate,3388,Mid Level,17,Good Hike (16-20%),1,Satisfied,Casually Engaged,Excellent,Poor,Fair,Exceeds Expectations,1,New Joinee,0,Settling In (0-1 yrs),0,Recently Promoted (0-1 yrs),0,New Relationship (0-1 yrs),0,First Job,2,0,Yes,Yes
